state,year,Incident,Population,Murder rate,Unemployment rate,ammpermit,Median Household income,Crime rate
Kentucky,2007,620,4256672,14.56536938,5.4,0,39452,295
Louisiana,2007,3258,4375581,74.45868332,4.1,0,41313,729
Maine,2007,30,1327040,2.260670364,4.7,0,47894,118
Maryland,2007,4963,5653408,87.78775563,3.7,0,65630,642
Massachusetts,2007,387,6431559,6.017203605,4.5,1,58463,432
Michigan,2007,7357,10001284,73.56055482,7.1,0,49370,536
Minnesota,2007,206,5207203,3.95605856,4.6,0,58058,289
Mississippi,2007,244,2928350,8.332337323,6.2,0,37279,291
Missouri,2007,1937,5887612,32.89958645,5.1,0,46005,505
Montana,2007,15,964706,1.554877859,3.4,0,43655,288
Nebraska,2007,27,1783440,1.513928139,2.9,0,49174,302
Nevada,2007,968,2601072,37.21542502,4.6,0,54058,751
New Hampshire,2007,11,1312540,0.838069697,3.5,0,67576,137
New Jersey,2007,989,8677885,11.3967862,4.2,0,60508,329
New Mexico,2007,297,1990070,14.92409815,3.6,0,44356,664
New York,2007,11517,19132335,60.19652071,4.4,0,48944,414
North Carolina,2007,1030,9118037,11.29629108,5.1,0,43513,466
North Dakota,2007,13,652822,1.991354458,3,0,47205,142
Ohio,2007,1337,11500468,11.62561384,5.6,0,49099,343
Oklahoma,2007,567,3634349,15.60114342,4,0,43216,450
Oregon,2007,111,3722417,2.981933513,5.2,0,50236,288
Pennsylvania,2007,8031,12563937,63.9210464,4.6,0,48437,416
Rhode Island,2007,Not Found,1057315,#VALUE!,5.1,0,54210,227
South Carolina,2007,506,4444110,11.38585679,6.1,0,44213,788
South Dakota,2007,16,791623,2.021164115,2.8,0,46418,169
Tennessee,2007,1778,6175727,28.79013272,4.6,0,41195,753
Texas,2007,10880,23831983,45.65293622,4.4,0,46053,510
Utah,2007,77,2597746,2.964108115,2.6,0,53529,235
Vermont,2007,13,623481,2.085067548,3.9,0,47390,124
Virginia,2007,793,7751000,10.23093794,3.3,0,59161,270
Washington,2007,248,6461587,3.838066407,4.6,0,58080,333
West Virginia,2007,64,1834052,3.489541191,4.8,0,42091,275
Wisconsin,2007,673,5610775,11.99477791,4.8,0,51277,291
Wyoming,2007,18,534876,3.365265968,2.6,0,48744,239
Alabama,2008,763,4718206,16.17140074,5.8,0,44476,453
Alaska,2008,32,687455,4.654850136,6.5,0,63989,652
Arizona,2008,1731,6280362,27.5621055,5.8,0,46914,447
Arkansas,2008,242,2874554,8.418697301,5.4,0,39586,503
California,2008,10927,36604337,29.85165392,7.3,0,57014,503
Colorado,2008,249,4889730,5.09230571,4.9,0,60943,343
Connecticut,2008,234,3545579,6.599768331,5.6,0,64682,298
Delaware,2008,88,883874,9.956170223,5,0,50702,703
Florida,2008,605024,18527305,3265.58018,5.7,0,44857,689
Georgia,2008,1773,9504843,18.65364846,6.8,0,46227,479
Hawaii,2008,38,1332213,2.852396726,4,0,61521,273
Idaho,2008,23,1534320,1.499035403,5,0,47420,229
Illinois,2008,11313,12747038,88.75002961,6.5,1,53254,525
Indiana,2008,1026,6424806,15.96935378,5.9,0,46520,334
Iowa,2008,88,3016734,2.917061962,4.1,0,50142,284
Kansas,2008,206,2808076,7.335983784,4.6,0,47877,411
Kentucky,2008,567,4289878,13.21715909,6.5,0,41148,296
Louisiana,2008,1467,4435586,33.07342029,4.7,0,39563,656
Maine,2008,32,1330509,2.405094592,5.3,0,47228,118
Maryland,2008,3351,5684965,58.94495393,4.5,0,63711,628
Massachusetts,2008,326,6468967,5.039444474,5.3,1,60320,448
Michigan,2008,4892,9946889,49.1812063,8.2,0,49788,502
Minnesota,2008,176,5247018,3.354286187,5.4,0,54925,263
Mississippi,2008,367,2947806,12.44993734,6.7,0,36446,285
Missouri,2008,2351,5923916,39.6865857,6.2,0,46038,504
Montana,2008,28,976415,2.867633127,4.7,0,42900,258
Nebraska,2008,24,1796378,1.336021706,3.2,0,50728,307
Nevada,2008,815,2653630,30.71264645,6.9,0,54744,725
New Hampshire,2008,13,1315906,0.98791251,3.7,0,66176,157
New Jersey,2008,785,8711090,9.011501431,5.4,0,65306,327
New Mexico,2008,208,2010662,10.3448516,4.3,0,42102,650
New York,2008,12382,19212436,64.44783993,5.4,0,50461,398
North Carolina,2008,1022,9309449,10.97809333,6.2,0,42930,467
North Dakota,2008,3,657569,0.456225887,3.1,0,49631,166
Ohio,2008,1269,11515391,11.02003397,6.6,0,46934,348
Oklahoma,2008,464,3668976,12.64658041,3.6,0,46111,527
Oregon,2008,125,3768748,3.316751346,6.2,0,51727,257
Pennsylvania,2008,5769,12612285,45.7411167,5.3,0,51402,410
Rhode Island,2008,Not Found,1055003,#VALUE!,7.6,0,53241,250
South Carolina,2008,404,4528996,8.920299333,7.3,0,42155,730
South Dakota,2008,26,799124,3.253562651,3.1,0,51600,201
Tennessee,2008,1529,6247411,24.47413817,6.5,0,39702,722
Texas,2008,7112,24309039,29.25660698,4.9,0,46490,508
Utah,2008,47,2663029,1.764907555,3.3,0,62537,222
Vermont,2008,17,624151,2.723699874,4.5,0,50706,136
